NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,257,SI,SI,NO,NA,No Tienen,61,Si,BLANCO,0.7,10.8,BLANCO,NO,NO,No,180,0,NO,No,ND,No,NA,No,NO,a. > 10%,NO LO CONOCE,"51,77",NO,NO
,264,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,183.49,21270,NO,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"59,91",NO,NO
,4315,SI,SI,NO,NA,No Tienen,52,No,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,175,0,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"51,38",SI,NO
,4438,SI,NO,NO,NA,No Tienen,69,Si,BLANCO,0.8,15.4,BLANCO,NO,NO,No,130,605,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"55,09",NO,NO
,4778,SI,NO,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,190,439,NO,No,ND,No,no,No,NO,ND,NO LO CONOCE,"51,38",NO,NO
,220,SI,SI,NO,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,150,0,NO,No,ND,No,si,No,NO,0%,NO LO CONOCE,"56,40",SI,NO
,222,SI,SI,NO,NA,L< 50%,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NA,Sí,145,7251,EN PROCESO,No,SI,No,si,No,NO,< 10%,ANC<40%,"56,40",SI,SI
,223,SI,SI,NO,NA,L< 50%,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,165,0,NO,No,SI,No,si,No,SI,< 10%,NO LO CONOCE,"56,40",SI,NO
,229,ND,SI,NO,NA,L> 50%,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,300,0,NO,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"51,38",NO,NO
,232,SI,SI,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,285,0,NO,No,ND,No,no,No,NO,0%,NO LO CONOCE,"51,38",NO,NO
,235,SI,SI,NO,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NA,No,130,0,BLANCO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"57,91",NO,NO
,238,SI,SI,NO,NA,L< 50%,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,195,0,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"57,91",SI,NO
,244,SI,SI,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NA,No,180,0,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"62,73",SI,NO
,221,SI,SI,NO,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,150,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"56,40",SI,NO
,224,SI,SI,SI,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,230,2430,NO,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"56,40",SI,NO
,228,SI,NO,NO,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,210,0,NO,No,ND,No,si,No,NO,< 10%,NO LO CONOCE,"51,38",NO,NO
,233,SI,SI,SI,NA,L= 100%,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,SI,No,190,4000,SI,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"51,38",NO,NO
,236,ND,SI,SI,NA,No responde,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,130,5000,NO,No,SI,No,no,No,NO,< 10%,NO LO CONOCE,"57,91",NO,NO
,237,SI,NO,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,125,502,EN PROCESO,No,SI,No,no,No,NO,< 10%,NO LO CONOCE,"51,38",NO,NO
,243,SI,SI,NO,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,200,0,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"62,73",SI,NO
,4578,SI,SI,SI,NA,No Tienen,63,Si,BLANCO,0.7,BLANCO,BLANCO,SI,NO,No,255,0,NO,No,ND,No,no,No,NO,< 10%,NO LO CONOCE,"56,40",SI,NO
,246,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,190,0,NO,No,ND,No,no,No,NO,a. > 10%,NO LO CONOCE,"77,27",SI,NO
,247,SI,SI,NO,NA,No responde,61,Si,BLANCO,0.7,BLANCO,BLANCO,NO,NO,No,404.89,4260,NO,No,SI,No,si,No,NO,< 10%,NO LO CONOCE,"77,27",NO,NO
