AÑO,INDICADOR_ID,ASADA_ID,VALOR,TEXTO
2019,2,3082A,1,NO
2019,3,3082A,0,SI
2019,4,3082A,1,NO
2019,5,3082A,0.805,<50
2019,6,3082A,0.045,82
2019,7,3082A,1,NO
2019,8,3082A,0.243,0.64
2019,9,3082A,0.992,33
2019,10,3082A,0.991,3
2019,11,3082A,1,NO
2019,12,3082A,1,NO
2019,13,3082A,1,NO
2019,14,3082A,0.011,170
2019,15,3082A,1,NO
2019,16,3082A,1,NO
2019,17,3082A,0,SI
2019,18,3082A,0,SI
2019,19,3082A,0,SI
2019,20,3082A,1,NO
2019,21,3082A,1,NO
2019,22,3082A,0.014,<10
2019,23,3082A,0.986,>40
2019,24,3082A,0.414,52.4
2019,25,3082A,1,NO
2019,26,3082A,1,NO
2019,27,3082A,1,SI
2019,28,3082A,1,SI
2019,29,3082A,0,NO
2019,30,3082A,1,SI
2019,1,3058A,1,NO
2019,2,3058A,1,NO
2019,3,3058A,1,NO
2019,4,3058A,1,NO
2019,5,3058A,0.991,0
2019,6,3058A,0.634,44
2019,7,3058A,1,NO
2019,8,3058A,0.174,0.58
2019,9,3058A,0.909,161
2019,10,3058A,0.991,0
2019,11,3058A,1,NO
2019,12,3058A,1,NO
2019,13,3058A,1,NO
2019,14,3058A,0.058,200
2019,15,3058A,1,NO
2019,16,3058A,1,NO
2019,17,3058A,1,NO
2019,18,3058A,0,SI
2019,19,3058A,1,NO
2019,20,3058A,1,NO
2019,21,3058A,1,NO
2019,22,3058A,0.014,<10
2019,23,3058A,0.986,>40
2019,24,3058A,0.533,49.03
2019,25,3058A,1,NO
2019,26,3058A,1,NO
2019,27,3058A,0,NO
2019,28,3058A,0,NO
2019,29,3058A,1,SI
2019,30,3058A,1,SI
2019,1,3052A,1,NO
2019,2,3052A,1,NO
2019,3,3052A,1,NO
2019,4,3052A,1,NO
2019,5,3052A,0.991,0
2019,6,3052A,0.634,44
2019,7,3052A,1,NO
2019,8,3052A,0.174,0.58
2019,9,3052A,0.909,161
2019,10,3052A,0.991,0
2019,11,3052A,1,NO
2019,12,3052A,1,NO
2019,13,3052A,1,NO
2019,14,3052A,0.058,200
2019,15,3052A,1,NO
2019,16,3052A,1,NO
2019,17,3052A,1,NO
2019,18,3052A,0,SI
2019,19,3052A,1,NO
2019,20,3052A,1,NO
2019,21,3052A,1,NO
2019,22,3052A,0.014,<10
2019,23,3052A,0.986,>40
2019,24,3052A,0.327,55.04
2019,25,3052A,1,NO
2019,26,3052A,1,NO
2019,27,3052A,0,NO
2019,28,3052A,1,SI
2019,29,3052A,1,SI
2019,30,3052A,1,SI
2019,1,3054A,1,NO
2019,2,3054A,1,NO
2019,3,3054A,0,SI
2019,4,3054A,1,NO
2019,5,3054A,0.805,<50
2019,6,3054A,0.634,44
2019,7,3054A,1,NO
2019,8,3054A,0.174,0.58
2019,9,3054A,0.909,161
2019,10,3054A,0.991,0
2019,11,3054A,1,NO
2019,12,3054A,1,NO
2019,13,3054A,1,NO
2019,14,3054A,0.034,190
2019,15,3054A,1,NO
2019,16,3054A,1,NO
2019,17,3054A,1,NO
2019,18,3054A,0,SI
2019,19,3054A,0,SI
2019,20,3054A,1,NO
2019,21,3054A,1,NO
2019,22,3054A,0.014,<10
2019,23,3054A,0.986,>40
2019,24,3054A,0.608,46.87
2019,25,3054A,1,NO
2019,26,3054A,1,NO
2019,27,3054A,0,NO
2019,28,3054A,0,NO
2019,29,3054A,1,SI
2019,30,3054A,1,SI
2019,1,3022A,1,NO
2019,2,3022A,1,NO
2019,3,3022A,0,SI
2019,4,3022A,1,NO
2019,5,3022A,0.805,<50
2019,6,3022A,0.028,87
2019,7,3022A,1,NO
2019,8,3022A,0.362,0.72
2019,9,3022A,0.981,78
2019,10,3022A,0.991,3
2019,11,3022A,1,NO
2019,12,3022A,1,NO
2019,13,3022A,1,NO
2019,14,3022A,0.034,190
2019,15,3022A,1,NO
2019,16,3022A,1,NO
2019,17,3022A,0,SI
2019,18,3022A,0,SI
2019,19,3022A,0,SI
2019,20,3022A,1,NO
2019,21,3022A,1,NO
2019,22,3022A,0.014,<10
2019,23,3022A,0.986,>40
2019,24,3022A,0.321,55.23
2019,25,3022A,1,NO
2019,26,3022A,1,NO
2019,27,3022A,0,NO
2019,28,3022A,0,NO
2019,29,3022A,1,SI
2019,30,3022A,1,SI
2019,1,3023A,1,NO
2019,2,3023A,1,NO
2019,3,3023A,0,SI
2019,4,3023A,1,NO
2019,5,3023A,0.805,<50
2019,6,3023A,0.028,87
2019,7,3023A,1,NO
2019,8,3023A,0.362,0.72
